name,path,type,status,version,value_tag
TSRFC_METHOD.md,/Users/warre/Omega/TSRFC_METHOD.md,spec,unknown,N/A,high-value
Omega:decisions,/Users/warre/Omega/Omega:decisions,directory,unknown,N/A,high-value
REPOSITORY_STRUCTURE.md,/Users/warre/Omega/REPOSITORY_STRUCTURE.md,spec,unknown,N/A,high-value
.cursor,/Users/warre/Omega/.cursor,directory,unknown,N/A,high-value
rules.md,/Users/warre/Omega/.cursor/rules.md,spec,unknown,N/A,high-value
omega-workspace-v1,/Users/warre/Omega/omega-workspace-v1,directory,unknown,1,high-value
app,/Users/warre/Omega/omega-workspace-v1/app,directory,unknown,1,high-value
components,/Users/warre/Omega/omega-workspace-v1/app/components,directory,unknown,1,high-value
sessions,/Users/warre/Omega/omega-workspace-v1/app/sessions,directory,unknown,1,high-value
layout.tsx,/Users/warre/Omega/omega-workspace-v1/app/layout.tsx,code-typescript,unknown,1,high-value
page.tsx,/Users/warre/Omega/omega-workspace-v1/app/page.tsx,code-typescript,unknown,1,high-value
globals.css,/Users/warre/Omega/omega-workspace-v1/app/globals.css,miscellaneous,unknown,1,high-value
postcss.config.mjs,/Users/warre/Omega/omega-workspace-v1/postcss.config.mjs,code-javascript,unknown,1,high-value
next.config.js,/Users/warre/Omega/omega-workspace-v1/next.config.js,code-javascript,unknown,1,high-value
prisma,/Users/warre/Omega/omega-workspace-v1/prisma,directory,unknown,1,high-value
migrations,/Users/warre/Omega/omega-workspace-v1/prisma/migrations,directory,unknown,1,high-value
schema.prisma,/Users/warre/Omega/omega-workspace-v1/prisma/schema.prisma,miscellaneous,unknown,1,high-value
seed.ts,/Users/warre/Omega/omega-workspace-v1/prisma/seed.ts,code-typescript,unknown,1,high-value
dev.db,/Users/warre/Omega/omega-workspace-v1/prisma/dev.db,miscellaneous,unknown,1,high-value
dev.db,/Users/warre/Omega/omega-workspace-v1/dev.db,miscellaneous,unknown,1,high-value
next-env.d.ts,/Users/warre/Omega/omega-workspace-v1/next-env.d.ts,code-typescript,unknown,1,high-value
README.md,/Users/warre/Omega/omega-workspace-v1/README.md,spec,unknown,1,high-value
tailwind.config.ts,/Users/warre/Omega/omega-workspace-v1/tailwind.config.ts,code-typescript,unknown,1,high-value
package-lock.json,/Users/warre/Omega/omega-workspace-v1/package-lock.json,spec,unknown,1,high-value
package.json,/Users/warre/Omega/omega-workspace-v1/package.json,spec,unknown,1,high-value
lib,/Users/warre/Omega/omega-workspace-v1/lib,directory,unknown,1,high-value
data.ts,/Users/warre/Omega/omega-workspace-v1/lib/data.ts,code-typescript,unknown,1,high-value
db.ts,/Users/warre/Omega/omega-workspace-v1/lib/db.ts,code-typescript,unknown,1,high-value
tsconfig.json,/Users/warre/Omega/omega-workspace-v1/tsconfig.json,spec,unknown,1,high-value
TSRFC_CREDIBILITY_SPEC.md,/Users/warre/Omega/TSRFC_CREDIBILITY_SPEC.md,spec,unknown,N/A,high-value
Omega:research,/Users/warre/Omega/Omega:research,directory,unknown,rc,high-value
artifacts,/Users/warre/Omega/artifacts,directory,unknown,N/A,high-value
fault-episodes,/Users/warre/Omega/artifacts/fault-episodes,directory,unknown,N/A,high-value
trauma-informed-education-system,/Users/warre/Omega/trauma-informed-education-system,directory,unknown,N/A,high-value
PROJECT_PLAN.md,/Users/warre/Omega/trauma-informed-education-system/PROJECT_PLAN.md,spec,unknown,N/A,high-value
app,/Users/warre/Omega/trauma-informed-education-system/app,directory,unknown,N/A,high-value
deploy,/Users/warre/Omega/trauma-informed-education-system/app/deploy,directory,unknown,N/A,high-value
training,/Users/warre/Omega/trauma-informed-education-system/app/training,directory,unknown,N/A,high-value
health,/Users/warre/Omega/trauma-informed-education-system/app/health,directory,unknown,N/A,high-value
start,/Users/warre/Omega/trauma-informed-education-system/app/start,directory,unknown,N/A,high-value
roles,/Users/warre/Omega/trauma-informed-education-system/app/roles,directory,unknown,N/A,high-value
about,/Users/warre/Omega/trauma-informed-education-system/app/about,directory,unknown,N/A,high-value
docs,/Users/warre/Omega/trauma-informed-education-system/app/docs,directory,unknown,N/A,high-value
search,/Users/warre/Omega/trauma-informed-education-system/app/search,directory,unknown,rc,high-value
packs,/Users/warre/Omega/trauma-informed-education-system/app/packs,directory,unknown,N/A,high-value
styles,/Users/warre/Omega/trauma-informed-education-system/app/styles,directory,unknown,N/A,high-value
components,/Users/warre/Omega/trauma-informed-education-system/app/components,directory,unknown,N/A,high-value
layout.tsx,/Users/warre/Omega/trauma-informed-education-system/app/layout.tsx,code-typescript,unknown,N/A,high-value
implementation,/Users/warre/Omega/trauma-informed-education-system/app/implementation,directory,unknown,N/A,high-value
page.tsx,/Users/warre/Omega/trauma-informed-education-system/app/page.tsx,code-typescript,unknown,N/A,high-value
globals.css,/Users/warre/Omega/trauma-informed-education-system/app/globals.css,miscellaneous,unknown,N/A,high-value
postcss.config.mjs,/Users/warre/Omega/trauma-informed-education-system/postcss.config.mjs,code-javascript,unknown,N/A,high-value
next.config.js,/Users/warre/Omega/trauma-informed-education-system/next.config.js,code-javascript,unknown,N/A,high-value
docs,/Users/warre/Omega/trauma-informed-education-system/docs,directory,unknown,N/A,high-value
evidence,/Users/warre/Omega/trauma-informed-education-system/docs/evidence,directory,unknown,N/A,high-value
framework,/Users/warre/Omega/trauma-informed-education-system/docs/framework,directory,unknown,N/A,high-value
business,/Users/warre/Omega/trauma-informed-education-system/docs/business,directory,unknown,N/A,high-value
foundations,/Users/warre/Omega/trauma-informed-education-system/docs/foundations,directory,unknown,N/A,high-value
ai,/Users/warre/Omega/trauma-informed-education-system/docs/ai,directory,unknown,N/A,high-value
governance,/Users/warre/Omega/trauma-informed-education-system/docs/governance,directory,unknown,N/A,high-value
delivery,/Users/warre/Omega/trauma-informed-education-system/docs/delivery,directory,unknown,N/A,high-value
future,/Users/warre/Omega/trauma-informed-education-system/docs/future,directory,unknown,N/A,high-value
next-env.d.ts,/Users/warre/Omega/trauma-informed-education-system/next-env.d.ts,code-typescript,unknown,N/A,high-value
README.md,/Users/warre/Omega/trauma-informed-education-system/README.md,spec,unknown,N/A,high-value
tailwind.config.ts,/Users/warre/Omega/trauma-informed-education-system/tailwind.config.ts,code-typescript,unknown,N/A,high-value
package-lock.json,/Users/warre/Omega/trauma-informed-education-system/package-lock.json,spec,unknown,N/A,high-value
package.json,/Users/warre/Omega/trauma-informed-education-system/package.json,spec,unknown,N/A,high-value
CONTRIBUTING.md,/Users/warre/Omega/trauma-informed-education-system/CONTRIBUTING.md,spec,unknown,N/A,high-value
scripts,/Users/warre/Omega/trauma-informed-education-system/scripts,directory,unknown,N/A,high-value
expected-routes.txt,/Users/warre/Omega/trauma-informed-education-system/scripts/expected-routes.txt,spec,unknown,N/A,high-value
all-hrefs.txt,/Users/warre/Omega/trauma-informed-education-system/scripts/all-hrefs.txt,spec,unknown,N/A,high-value
build-docs-inventory.mjs,/Users/warre/Omega/trauma-informed-education-system/scripts/build-docs-inventory.mjs,code-javascript,unknown,N/A,high-value
lib,/Users/warre/Omega/trauma-informed-education-system/lib,directory,unknown,N/A,high-value
